prompt,model_answer,predict_proba
"Как называлась организация для нелегальной иммиграции, созданная сионистами в 1937 году?","Организация для нелегальной иммиграции, созданная сионистами в 1937 году, называлась ""Моссад ле-Алия Бет"" (Mossad Le-Aliyah Bet).",
Кем был установлен бюст у входа в Чапаевский парк со стороны Ленинградского проспекта в 1970—1980-х годах вместе с Н. С. Строевым?,Бюст у входа в Чапаевский парк со стороны Ленинградского проспекта в 1970—1980-х годах был установлен совместно скульптором Николаем Сергеевичем Строевым и архитектором Алексеем Ивановичем Душкиным.,
"Кто в 1513 году, пройдя Панамский перешеек, увидел Тихий океан и назвал его «Южным морем»?","В 1513 году испанский конкистадор Васко Нуньес де Бальбоа первым из европейцев пересек Панамский перешеек и вышел к Тихому океану. Он назвал его «Южное море», так как считал, что оно находится на юге от Америки.",
Кто снял фильм «День сурка» (1993)?,Фильм «День сурка» 1993 года был снят режиссёром Гарольдом Рэмисом.,
Кто заменил Джона Терри на посту капитана сборной Англии 5 февраля 2010 года?,Капитаном сборной Англии после отставки Джона Терри стал Рио Фердинанд.,
"Кто командовал армией и одержал победу над Катилиной в битве под Писторией в январе 62 года до н. э., после того как Гай Антоний Гибрида передал ему командование?",В битве под Писторией в январе 62 года до н. э. победу над Катилиной одержал **Гней Октавий**.,
"Кем был автор памятника советскому разведчику Геворку Вартаняну, открытого в Москве на Троекуровском кладбище 24 октября 2012 года?","Автором памятника советскому разведчику Геворку Вартаняну, открытого в Москве на Троекуровском кладбище 24 октября 2012 года, является скульптор Зураб Церетели.",
Сколько слов в неделю разрешалось Юджину Дебсу рассылать в рамках президентской кампании 1920 года после давления прессы на министерство юстиции в сентябре?,"В рамках президентской кампании 1920 года Юджин Дебс был ограничен в количестве слов, которые он мог рассылать еженедельно, из-за давления со стороны Министерства юстиции США и прессы. В сентябре 1920 года ему было разрешено рассылать не более 500 слов в неделю.",
Кто описал сибирского воронка в 1811 году?,Сибирский воронок был описан в 1811 году русским натуралистом Петром Симоном Палласом.,
"Где в настоящее время выставляется картина Архипа Куинджи «Берёзовая роща» (изначальная версия, созданная в 1879 году)?","Картина Архипа Куинджи «Берёзовая роща», написанная им в 1879 году, находится в Государственной Третьяковской галерее в Москве.",
"Кто был инициатором истории с картонами Рубенса, желая заполучить некоторые вещи художника для своей коллекции?","Инициатором истории с картонами Рубенса, желавшим заполучить некоторые вещи художника для своей коллекции, был король Франции Людовик XIV.",
"Кто сопровождал Марию Стюарт, принцессу Оранскую, в Нидерланды в феврале 1642 года и впоследствии стал её доверенным лицом и компаньонкой?",В феврале 1642 года Марию Стюарт сопровождала в Нидерланды её компаньонка Элизабет Клерк. Впоследствии она стала доверенным лицом и компаньонкой Марии Стюарт.,
Как погиб Мехмет-бей II Караманид во время осады Антальи?,"Мехмет-бей II Караманид погиб во время осады Антальи в 1426 году. Он был убит стрелой, выпущенной из арбалета, когда находился на стене города.",
